               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030547,           0.0088533,           0.0016335,             0.92216,             0.94671,             0.97734,             0.65795,            0.024983,           0.0063207,           0.0015432,            0.006535,            0.006535,            0.006535
                  37,            0.030261,           0.0085121,           0.0016836,             0.88453,             0.95429,             0.96209,             0.74344,            0.027408,           0.0058987,           0.0014798,            0.006436,            0.006436,            0.006436
                  38,            0.029873,           0.0087693,           0.0017041,             0.94413,             0.95859,             0.98534,             0.74092,            0.025499,           0.0057449,           0.0014439,            0.006337,            0.006337,            0.006337
                  39,            0.030233,           0.0087389,           0.0016173,             0.94097,             0.92513,             0.98607,             0.78461,            0.019423,           0.0056367,           0.0015268,            0.006238,            0.006238,            0.006238
                  40,             0.02799,           0.0085462,           0.0016915,             0.95872,             0.89744,             0.98423,             0.74632,            0.023662,           0.0057817,           0.0015185,            0.006139,            0.006139,            0.006139
                  41,            0.028758,           0.0077614,           0.0015089,             0.96017,              0.9359,             0.98806,             0.85365,            0.023668,           0.0056915,           0.0014537,             0.00604,             0.00604,             0.00604
                  42,            0.028572,           0.0082015,           0.0015488,             0.94813,             0.96116,             0.98696,             0.85884,            0.021932,           0.0055792,           0.0014381,            0.005941,            0.005941,            0.005941
                  43,              0.0286,           0.0082062,           0.0015558,             0.94896,             0.94719,             0.98602,             0.79075,            0.019952,           0.0054784,           0.0014374,            0.005842,            0.005842,            0.005842
                  44,            0.026469,           0.0077081,           0.0015446,             0.94622,             0.94646,             0.98611,             0.78012,             0.02339,           0.0056975,           0.0014334,            0.005743,            0.005743,            0.005743
                  45,            0.026763,           0.0085714,           0.0015136,             0.94695,             0.94872,             0.98186,             0.70765,            0.021999,           0.0056312,           0.0013347,            0.005644,            0.005644,            0.005644
                  46,            0.026776,           0.0082508,           0.0013134,             0.94301,             0.97389,             0.98287,             0.79854,            0.023677,           0.0057938,           0.0012936,            0.005545,            0.005545,            0.005545
                  47,            0.025996,           0.0087271,           0.0013356,             0.96851,             0.97119,             0.99056,             0.81182,            0.020814,           0.0052319,           0.0012634,            0.005446,            0.005446,            0.005446
                  48,             0.02664,           0.0076959,           0.0013917,             0.97374,             0.96795,             0.98956,             0.82471,            0.019782,           0.0051293,           0.0012781,            0.005347,            0.005347,            0.005347
                  49,            0.023707,           0.0071783,           0.0013509,             0.96506,             0.96406,             0.98999,             0.81728,            0.022243,           0.0053005,           0.0013024,            0.005248,            0.005248,            0.005248
                  50,            0.026012,           0.0084102,            0.001407,             0.95274,             0.96795,              0.9871,             0.71895,            0.021122,           0.0052547,           0.0013513,            0.005149,            0.005149,            0.005149
                  51,            0.024346,           0.0079685,           0.0014067,             0.96357,             0.95513,             0.98877,              0.7748,             0.01905,           0.0051861,           0.0013066,             0.00505,             0.00505,             0.00505
                  52,            0.025676,           0.0080745,            0.001395,             0.93094,             0.97917,             0.98488,             0.86156,            0.017459,           0.0052507,           0.0012494,            0.004951,            0.004951,            0.004951
                  53,            0.024933,           0.0072742,           0.0012542,             0.93901,             0.98077,             0.98458,             0.80644,            0.019711,            0.005306,           0.0012012,            0.004852,            0.004852,            0.004852
                  54,            0.023879,           0.0086819,           0.0012677,             0.94325,             0.98273,             0.98725,             0.87238,            0.019244,            0.005152,           0.0011242,            0.004753,            0.004753,            0.004753
                  55,            0.023005,            0.006349,           0.0011404,             0.95948,             0.96795,              0.9888,             0.85699,            0.018977,           0.0049908,            0.001133,            0.004654,            0.004654,            0.004654
                  56,            0.023873,           0.0076262,           0.0012381,             0.96085,             0.96589,             0.98861,             0.83705,            0.019271,           0.0049729,           0.0011124,            0.004555,            0.004555,            0.004555
                  57,            0.024378,           0.0087439,           0.0011669,             0.96778,             0.96795,             0.98533,             0.79092,            0.020872,           0.0050619,           0.0010767,            0.004456,            0.004456,            0.004456
                  58,              0.0237,           0.0082756,           0.0011276,             0.95673,             0.96875,             0.98719,             0.77565,            0.018355,           0.0048852,           0.0010849,            0.004357,            0.004357,            0.004357
                  59,            0.022146,           0.0071236,            0.001194,             0.95549,             0.97436,             0.98933,             0.82657,             0.01791,           0.0047522,           0.0010825,            0.004258,            0.004258,            0.004258
                  60,            0.023367,           0.0078782,           0.0011096,             0.95704,             0.97058,             0.98802,             0.88112,            0.017062,           0.0047314,           0.0010589,            0.004159,            0.004159,            0.004159
                  61,            0.022409,           0.0075094,           0.0011413,             0.95749,             0.96886,             0.98143,             0.89683,             0.01932,           0.0049689,           0.0010269,             0.00406,             0.00406,             0.00406
                  62,             0.02116,           0.0074974,           0.0011083,             0.95027,             0.96904,             0.98178,             0.82817,            0.016625,           0.0048537,          0.00099459,            0.003961,            0.003961,            0.003961
                  63,            0.020569,           0.0070504,           0.0010314,             0.96238,              0.9541,             0.98905,             0.92542,            0.016081,           0.0047212,           0.0010036,            0.003862,            0.003862,            0.003862
                  64,            0.021445,           0.0073599,           0.0010258,             0.96231,             0.95642,             0.99074,             0.85841,            0.017924,           0.0049133,               0.001,            0.003763,            0.003763,            0.003763
                  65,            0.020445,           0.0066602,          0.00099022,             0.95668,             0.95513,             0.98706,              0.8614,            0.018648,            0.004976,          0.00093808,            0.003664,            0.003664,            0.003664
                  66,            0.021891,           0.0074519,          0.00093036,             0.96357,             0.96578,             0.97808,               0.807,            0.017247,           0.0050235,          0.00090175,            0.003565,            0.003565,            0.003565
                  67,            0.020288,           0.0068668,          0.00095498,             0.96333,             0.96742,             0.98011,             0.82806,            0.016436,           0.0049312,          0.00089445,            0.003466,            0.003466,            0.003466
                  68,            0.019862,            0.006434,          0.00091989,             0.96323,             0.97065,             0.98699,             0.86539,            0.016878,           0.0049071,          0.00088592,            0.003367,            0.003367,            0.003367
                  69,            0.022739,           0.0065509,            0.000945,             0.95731,             0.96795,             0.98757,             0.82049,            0.016209,           0.0048656,          0.00088468,            0.003268,            0.003268,            0.003268
                  70,            0.019654,           0.0069512,          0.00089177,             0.96475,             0.95513,             0.98744,             0.84391,            0.015243,           0.0048401,          0.00088053,            0.003169,            0.003169,            0.003169
                  71,            0.020031,           0.0062641,          0.00091444,             0.96747,             0.95213,             0.98678,             0.82353,            0.015439,           0.0048599,          0.00088449,             0.00307,             0.00307,             0.00307
                  72,            0.020167,           0.0060138,          0.00091923,             0.93456,             0.97223,             0.98621,             0.83995,            0.015592,           0.0049767,          0.00087357,            0.002971,            0.002971,            0.002971
                  73,            0.021566,           0.0070815,           0.0009436,             0.95975,             0.96071,             0.98496,             0.81283,            0.016399,           0.0049214,          0.00085878,            0.002872,            0.002872,            0.002872
                  74,            0.019403,            0.006655,          0.00087836,             0.96525,             0.95937,              0.9858,             0.84651,             0.01481,           0.0046885,          0.00083613,            0.002773,            0.002773,            0.002773
                  75,            0.019758,             0.00731,           0.0008719,             0.96969,             0.96056,             0.98569,              0.8632,            0.013592,           0.0046439,          0.00081139,            0.002674,            0.002674,            0.002674
                  76,            0.017843,           0.0061848,          0.00086223,             0.96567,              0.9658,             0.98817,             0.79313,            0.015701,           0.0046844,          0.00079141,            0.002575,            0.002575,            0.002575
                  77,             0.01822,           0.0066856,          0.00080928,             0.96367,             0.96291,             0.98451,             0.83339,            0.014592,           0.0045638,          0.00076094,            0.002476,            0.002476,            0.002476
                  78,            0.017441,           0.0058195,          0.00078569,             0.95946,              0.9646,             0.98337,              0.8437,            0.013735,           0.0043986,          0.00074682,            0.002377,            0.002377,            0.002377
                  79,             0.01871,           0.0069798,          0.00075616,             0.96369,             0.95949,             0.98181,             0.85303,            0.013946,           0.0045214,          0.00074205,            0.002278,            0.002278,            0.002278
                  80,            0.017684,           0.0065682,          0.00076394,             0.96353,             0.95793,             0.98283,             0.85201,            0.013711,           0.0046177,          0.00073371,            0.002179,            0.002179,            0.002179
