               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022341,            0.008463,          0.00058101,             0.73662,             0.73306,             0.74507,             0.63379,            0.015554,           0.0044681,          0.00049138,              0.0892,              0.0012,              0.0012
                   1,             0.01899,           0.0072108,          0.00037647,              0.7666,             0.87511,             0.85643,             0.73393,            0.019723,           0.0039558,          0.00050311,            0.077475,           0.0024753,           0.0024753
                   2,            0.021053,           0.0067937,          0.00045841,             0.77237,             0.87087,             0.86607,             0.65372,            0.020459,           0.0041184,          0.00053308,            0.065725,           0.0037248,           0.0037248
                   3,            0.025761,           0.0064845,          0.00048701,              0.7659,             0.84779,             0.86454,             0.58151,            0.026553,           0.0046716,          0.00062768,            0.053949,           0.0049485,           0.0049485
                   4,            0.025185,           0.0054382,          0.00073393,             0.80418,             0.85194,              0.8745,             0.58908,            0.020979,           0.0037453,          0.00073743,            0.042147,           0.0061466,           0.0061466
                   5,             0.02747,           0.0057483,            0.001297,             0.74637,             0.75919,             0.83359,              0.6041,            0.024092,           0.0036823,           0.0010366,            0.030319,           0.0073188,           0.0073188
                   6,            0.027932,           0.0061024,           0.0012384,             0.69986,              0.8386,             0.83721,             0.59466,            0.024131,           0.0038717,           0.0012302,            0.018465,           0.0084654,           0.0084654
                   7,             0.02804,           0.0053222,           0.0015252,             0.70515,             0.87212,             0.81246,             0.64992,            0.023837,           0.0036297,           0.0015345,            0.009307,            0.009307,            0.009307
                   8,            0.028986,           0.0062605,           0.0015329,             0.92754,             0.63931,             0.80939,             0.58847,            0.023521,           0.0035342,            0.001442,            0.009307,            0.009307,            0.009307
                   9,            0.030412,           0.0061739,           0.0014462,             0.71526,             0.85458,             0.81564,             0.62947,            0.024323,           0.0035098,           0.0015908,            0.009208,            0.009208,            0.009208
                  10,            0.026925,           0.0059796,            0.001622,             0.90643,             0.65059,             0.80806,             0.60536,            0.025913,           0.0035492,            0.001791,            0.009109,            0.009109,            0.009109
                  11,            0.030942,           0.0050356,           0.0015376,             0.81711,             0.82821,             0.90051,             0.69052,            0.025445,           0.0036652,            0.001928,             0.00901,             0.00901,             0.00901
                  12,            0.027718,            0.005711,           0.0015429,              0.8161,             0.87906,             0.88907,             0.65823,            0.024075,           0.0034529,           0.0017731,            0.008911,            0.008911,            0.008911
                  13,            0.028954,           0.0057938,           0.0013519,             0.90727,             0.73061,             0.91187,             0.70404,            0.025029,           0.0033917,           0.0018577,            0.008812,            0.008812,            0.008812
                  14,             0.02968,           0.0051745,            0.001569,             0.93799,             0.74791,             0.89637,             0.57961,            0.030265,           0.0033655,           0.0018541,            0.008713,            0.008713,            0.008713
